FirstName,LastName,Birthdate,Company,Title,WorkPhone,CellPhone,Email,Inactive
Annalise,Schinner,8/18/1961 0:00,"Mosciski, Christiansen and Kunde",Baker,(452)035-0079 x8703,938.310.4232 x279,emie.dare@klocko.co.uk,FALSE
Kailee,McKenzie,12/3/1971 0:00,Beier-Wilkinson,Programmer,256-054-9492 x92592,(287)597-6200 x5754,leila@padberg.ca,FALSE
Emerson,Leffler,7/7/1966 0:00,Steuber-Beier,Programmer,044.694.7374,284.130.0239 x22046,jermain.rowe@wolff.info,TRUE
Rubie,Roob,11/28/1982 0:00,Predovic LLC,Unknown,676-251-0591,430.411.9509 x460,noelia@kautzerbraun.uk,FALSE
Joey,Mosciski,2/2/1978 0:00,"Rutherford, Fadel and Kulas",Unknown,(656)026-3511,439-464-1509,joyce.adams@harrisokeefe.info,TRUE
Estel,Runolfsdottir,12/13/1979 0:00,Skiles Inc and Sons,Unknown,960-875-8245 x179,(367)027-0306 x30606,erwin@mckenzie.ca,TRUE
Margarette,Haag,12/17/1968 0:00,Bednar-Vandervort,Baker,1-084-208-6542,1-053-123-7492,brigitte.macejkovic@price.com,TRUE
Emilie,Paucek,12/27/1969 0:00,Kling-Klein,Baker,289-467-6472 x35037,1-531-779-6483 x46578,avis@friesen.info,FALSE
Carroll,Gorczany,1/14/1989 0:00,Maggio-Bergstrom,Engraver,728.868.7199,538-480-2776,kasandra@johnsgreenfelder.com,FALSE
Abdullah,Adams,11/21/1953 0:00,Schaden Group,Programmer,922.057.4170 x7848,(084)278-1650,pamela_terry@osinski.ca,FALSE
